Analysis,Author,Year,Trait Type,Species,Genus,Family,Order,Plant Species,Genus,Family,Order,n,t = trait means,S=trait standard deviations,R = # Species relative abundances,Link,OTHER LINK,Reference,Mutualism_type,Trait,Included in redundancy analysis,Source,Data Reported,Statistics Reported,Field/Experimental/Observational,,,,,,,
2B,Oliveira et al,2019,Host B. (Jatropha ribifolia) Dispersal distance (m),Dorymyrmex thoracicus,Dorymyrmex,Dolichoderinae,Hymenoptera,Jatropha ribifolia,Jatropha,Euphorbiaceae,Malpighiales,7,0.079,0.034,0.053,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2B,Oliveira et al,2019,Host B. (Jatropha ribifolia) Dispersal distance (m),Ectatomma muticum,Ectatomma,Ectatomminae,Hymenoptera,Jatropha ribifolia,Jatropha,Euphorbiaceae,Malpighiales,36,1.383,1.509,0.275,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2B,Oliveira et al,2019,Host B. (Jatropha ribifolia) Dispersal distance (m),Pheidole radoskowskii,Pheidole,Myrmicinae,Hymenoptera,Jatropha ribifolia,Jatropha,Euphorbiaceae,Malpighiales,48,0.108,0.120,0.366,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2B,Oliveira et al,2019,Host B. (Jatropha ribifolia) Dispersal distance (m),Pheidole sp.B (Oliveira),Pheidole,Myrmicinae,Hymenoptera,Jatropha ribifolia,Jatropha,Euphorbiaceae,Malpighiales,5,0.054,0.013,0.038,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2B,Oliveira et al,2019,Host B. (Jatropha ribifolia) Dispersal distance (m),Pheidole sp.C (Oliveira),Pheidole,Myrmicinae,Hymenoptera,Jatropha ribifolia,Jatropha,Euphorbiaceae,Malpighiales,12,0.047,0.019,0.092,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2B,Oliveira et al,2019,Host B. (Jatropha ribifolia) Dispersal distance (m),Pheidole sp.E (Oliveira),Pheidole,Myrmicinae,Hymenoptera,Jatropha ribifolia,Jatropha,Euphorbiaceae,Malpighiales,8,0.190,0.241,0.061,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2B,Oliveira et al,2019,Host B. (Jatropha ribifolia) Dispersal distance (m),Solenopsis tridens,Solenopsis,Myrmicinae,Hymenoptera,Jatropha ribifolia,Jatropha,Euphorbiaceae,Malpighiales,15,0.156,0.229,0.115,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2C,Oliveira et al,2019,Host C. (Sideroxylon obtisufolium) Dispersal distance (m),Atta sexdens,Atta,Myrmicinae,Hymenoptera,Sideroxylon obtisufolium,Sideroxylon,Sapotaceae,Ericales,6,0.205,0.138,0.029,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2C,Oliveira et al,2019,Host C. (Sideroxylon obtisufolium) Dispersal distance (m),Dinoponera quadriceps,Dinoponera,Ponerinae,Hymenoptera,Sideroxylon obtisufolium,Sideroxylon,Sapotaceae,Ericales,5,8.519,4.177,0.948,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2C,Oliveira et al,2019,Host C. (Sideroxylon obtisufolium) Dispersal distance (m),Ectatomma muticum,Ectatomma,Ectatomminae,Hymenoptera,Sideroxylon obtisufolium,Sideroxylon,Sapotaceae,Ericales,199,2.432,2.420,0.024,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
3A,Plowman et al,2017,Trait A. Herbivory,Anonychomyrma ANON009,Anonychomyrma,Dolichoderinae,Hymenoptera,Myristica subaluata,Myristica,Myristicaceae,Magnoliales,19,31.79879,9.463628,0.2676056,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2016.2564,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2016.2564,"Plowman, Nichola & Hood, Amelia & Moses, Jimmy & Redmond, Conor & Klimes, Petr & Novotny, Vojtech & Fayle, Tom. (2017). Network reorganization and breakdown of an ant–plant protection mutualism with elevation. Proceedings of the Royal Society B: Biological Sciences. 284. 10.1098/rspb.2016.2564.",Plant Protection,Herbivory,YES,Supplementary material raw data,Raw data,,Field observationlal,,,,,,,
3A,Plowman et al,2017,Trait A. Herbivory,Anonychomyrma ANON012,Anonychomyrma,Dolichoderinae,Hymenoptera,Myristica subaluata,Myristica,Myristicaceae,Magnoliales,31,31.20938,8.19503,0.4366197,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2016.2564,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2016.2564,"Plowman, Nichola & Hood, Amelia & Moses, Jimmy & Redmond, Conor & Klimes, Petr & Novotny, Vojtech & Fayle, Tom. (2017). Network reorganization and breakdown of an ant–plant protection mutualism with elevation. Proceedings of the Royal Society B: Biological Sciences. 284. 10.1098/rspb.2016.2564.",Plant Protection,Herbivory,YES,Supplementary material raw data,Raw data,,Field observationlal,,,,,,,
3A,Plowman et al,2017,Trait A. Herbivory,Anonychomyrma ANON013,Anonychomyrma,Dolichoderinae,Hymenoptera,Myristica subaluata,Myristica,Myristicaceae,Magnoliales,21,40.52746,13.506004,0.2957746,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2016.2564,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2016.2564,"Plowman, Nichola & Hood, Amelia & Moses, Jimmy & Redmond, Conor & Klimes, Petr & Novotny, Vojtech & Fayle, Tom. (2017). Network reorganization and breakdown of an ant–plant protection mutualism with elevation. Proceedings of the Royal Society B: Biological Sciences. 284. 10.1098/rspb.2016.2564.",Plant Protection,Herbivory,YES,Supplementary material raw data,Raw data,,Field observationlal,,,,,,,
4A,Frederickson,2005,Trait A. Herbivory,Allomerus octoarticulatus demerarae,Allomerus,Myrmicinae,Hymenoptera,Cordia nodosa,Cordia,Boraginaceae,Boraginales,28,0.04808739,0.04698201,0.3943662,https://link.springer.com/article/10.1007/s00442-004-1817-7#citeas,https://link.springer.com/article/10.1007/s00442-004-1817-7#citeas,"Frederickson M. E. (2005). Ant species confer different partner benefits on two neotropical myrmecophytes. Oecologia, 143(3), 387–395. https://doi.org/10.1007/s00442-004-1817-7",Plant Protection,Herbivory,YES,Supplementary material raw data,Raw data,"F-value, P-value, r-value","Field observational (figure 1), field experimental (figure 4)",,,,,,,
4A,Frederickson,2005,Trait A. Herbivory,Azteca spp. (Frederickson),Azteca,Dolichoderinae,Hymenoptera,Cordia nodosa,Cordia,Boraginaceae,Boraginales,27,0.05340931,0.05759676,0.3802817,https://link.springer.com/article/10.1007/s00442-004-1817-7#citeas,https://link.springer.com/article/10.1007/s00442-004-1817-7#citeas,"Frederickson M. E. (2005). Ant species confer different partner benefits on two neotropical myrmecophytes. Oecologia, 143(3), 387–395. https://doi.org/10.1007/s00442-004-1817-7",Plant Protection,Herbivory,YES,Supplementary material raw data,Raw data,"F-value, P-value, r-value","Field observational (figure 1), field experimental (figure 4)",,,,,,,
4A,Frederickson,2005,Trait A. Herbivory,Myrmelachista schumanni,Myrmelachista,Formicinae,Hymenoptera,Cordia nodosa,Cordia,Boraginaceae,Boraginales,16,0.10169563,0.08499354,0.2253521,https://link.springer.com/article/10.1007/s00442-004-1817-7#citeas,https://link.springer.com/article/10.1007/s00442-004-1817-7#citeas,"Frederickson M. E. (2005). Ant species confer different partner benefits on two neotropical myrmecophytes. Oecologia, 143(3), 387–395. https://doi.org/10.1007/s00442-004-1817-7",Plant Protection,Herbivory,YES,Supplementary material raw data,Raw data,"F-value, P-value, r-value","Field observational (figure 1), field experimental (figure 4)",,,,,,,
5A,Passos & Oliveira,2002,Trait A. Dispersal Distance (m),Pachycondyla striata,Pachycondyla,Ponerinae,Hymenoptera,Clusia criuva,Clusia,Clusiaceae,Malpighiales,20,1.5,2.15,0.3943662,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2745.2002.00687.x,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2745.2002.00687.x,"Passos, L., & Oliveira, P. S. (2002). Ants Affect the Distribution and Performance of Seedlings of Clusia criuva, a Primarily Bird-Dispersed Rain Forest Tree. Journal of Ecology, 90(3), 517–528. http://www.jstor.org/stable/3072235",Seed Dispersal,Dispersal Distance,NO,In-text,"n, mean, SD",Only mean and SD,Field experimental,,,,,,,
5A,Passos & Oliveira,2002,Trait A. Dispersal Distance (m),Odontomachus chelifer,Odontomachus,Ponerinae,Hymenoptera,Clusia criuva,Clusia,Clusiaceae,Malpighiales,20,2.33,1.33,0.3802817,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2745.2002.00687.x,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2745.2002.00687.x,"Passos, L., & Oliveira, P. S. (2002). Ants Affect the Distribution and Performance of Seedlings of Clusia criuva, a Primarily Bird-Dispersed Rain Forest Tree. Journal of Ecology, 90(3), 517–528. http://www.jstor.org/stable/3072235",Seed Dispersal,Dispersal Distance,NO,In-text,"n, mean, SD",Only mean and SD,Field experimental,,,,,,,
5A,Passos & Oliveira,2002,Trait A. Dispersal Distance (m),Acromyrmex sp.,Acromyrmex,Myrmicinae,Hymenoptera,Clusia criuva,Clusia,Clusiaceae,Malpighiales,7,2.4,2.01,0.2253521,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2745.2002.00687.x,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2745.2002.00687.x,"Passos, L., & Oliveira, P. S. (2002). Ants Affect the Distribution and Performance of Seedlings of Clusia criuva, a Primarily Bird-Dispersed Rain Forest Tree. Journal of Ecology, 90(3), 517–528. http://www.jstor.org/stable/3072235",Seed Dispersal,Dispersal Distance,NO,In-text,"n, mean, SD",Only mean and SD,Field experimental,,,,,,,
6A,"Pizo, M.A. & Oliveira, P.S.",1998,Trait A. Dispersal Distance (cm),Pachycondyla striata,Pachycondyla,Ponerinae,Hymenoptera,Cabralea canjerana,Cabralea,Meliaceae,Sapindales,20,15,18,0.5263158,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2446536,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2446536,"Pizo, M., & Oliveira, P. (1998). Interaction between ants and seeds of a nonmyrmecochorous neotropical tree, Cabralea canjerana (Meliaceae), in the Atlantic forest of southeast Brazil. American journal of botany, 85(5), 669.",Seed Dispersal,Dispersal Distance,NO,In-text,"n, mean, SD",Only mean and SD,Field experimental,,,,,,,
6A,"Pizo, M.A. & Oliveira, P.S.",1998,Trait A. Dispersal Distance (cm),Odontomachus chelifer,Odontomachus,Ponerinae,Hymenoptera,Cabralea canjerana,Cabralea,Meliaceae,Sapindales,7,57,60,0.1842105,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2446536,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2446536,"Pizo, M., & Oliveira, P. (1998). Interaction between ants and seeds of a nonmyrmecochorous neotropical tree, Cabralea canjerana (Meliaceae), in the Atlantic forest of southeast Brazil. American journal of botany, 85(5), 669.",Seed Dispersal,Dispersal Distance,NO,In-text,"n, mean, SD",Only mean and SD,Field experimental,,,,,,,
6A,"Pizo, M.A. & Oliveira, P.S.",1998,Trait A. Dispersal Distance (cm),Ectatomma edentatum,Ectatomma,Ectatomminae,Hymenoptera,Cabralea canjerana,Cabralea,Meliaceae,Sapindales,11,3,5,0.2894737,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2446536,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2446536,"Pizo, M., & Oliveira, P. (1998). Interaction between ants and seeds of a nonmyrmecochorous neotropical tree, Cabralea canjerana (Meliaceae), in the Atlantic forest of southeast Brazil. American journal of botany, 85(5), 669.",Seed Dispersal,Dispersal Distance,NO,In-text,"n, mean, SD",Only mean and SD,Field experimental,,,,,,,
7A,Leal & Oliveira,1998,Host A. (Ouratea pulchella) Dispersal distance (cm),Acromyrmex (Oliveira),Acromyrmex,Myrmicinae,Hymenoptera,Ouratea pulchella,Ouratea,Ochnaceae,Malpighiales,78,738.1,275.1,0.53793103,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7429.1998.tb00052.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7429.1998.tb00052.x,"Leal, I. R., & Oliveira, P. S. (1998). Interactions between Fungus-Growing Ants (Attini), Fruits and Seeds in Cerrado Vegetation in Southeast Brazil. Biotropica, 30(2), 170–178. http://www.jstor.org/stable/2389160",Seed Dispersal,Dispersal Distance,NO,Table 2,"n, mean, SD",Only mean and SD,Field observational,,,,,,,
7A,Leal & Oliveira,1998,Host A. (Ouratea pulchella) Dispersal distance (cm),Atta (Oliveira),Atta,Myrmicinae,Hymenoptera,Ouratea pulchella,Ouratea,Ochnaceae,Malpighiales,10,358,0,0.06896552,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7429.1998.tb00052.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7429.1998.tb00052.x,"Leal, I. R., & Oliveira, P. S. (1998). Interactions between Fungus-Growing Ants (Attini), Fruits and Seeds in Cerrado Vegetation in Southeast Brazil. Biotropica, 30(2), 170–178. http://www.jstor.org/stable/2389160",Seed Dispersal,Dispersal Distance,NO,Table 2,"n, mean, SD",Only mean and SD,Field observational,,,,,,,
7A,Leal & Oliveira,1998,Host A. (Ouratea pulchella) Dispersal distance (cm),Mycocepurus (Oliveira),Mycocepurus,Myrmicinae,Hymenoptera,Ouratea pulchella,Ouratea,Ochnaceae,Malpighiales,5,74.8,35.3,0.03448276,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7429.1998.tb00052.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7429.1998.tb00052.x,"Leal, I. R., & Oliveira, P. S. (1998). Interactions between Fungus-Growing Ants (Attini), Fruits and Seeds in Cerrado Vegetation in Southeast Brazil. Biotropica, 30(2), 170–178. http://www.jstor.org/stable/2389160",Seed Dispersal,Dispersal Distance,NO,Table 2,"n, mean, SD",Only mean and SD,Field observational,,,,,,,
7A,Leal & Oliveira,1998,Host A. (Ouratea pulchella) Dispersal distance (cm),Myrmicocrypta (Oliveira),Myrmicocrypta,Myrmicinae,Hymenoptera,Ouratea pulchella,Ouratea,Ochnaceae,Malpighiales,5,257,80.3,0.03448276,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7429.1998.tb00052.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7429.1998.tb00052.x,"Leal, I. R., & Oliveira, P. S. (1998). Interactions between Fungus-Growing Ants (Attini), Fruits and Seeds in Cerrado Vegetation in Southeast Brazil. Biotropica, 30(2), 170–178. http://www.jstor.org/stable/2389160",Seed Dispersal,Dispersal Distance,NO,Table 2,"n, mean, SD",Only mean and SD,Field observational,,,,,,,
