Supplementary Table 9. Pairwise comparison of AA similarity acros Picorna-like viruses,,,,,
Species 1,Species 2,Names 1,Names 2,disimilarity,similarity
CRLV,SINV-17,Cherry rasp leaf virus, Solenopsis invicta virus 17,0.99,0.01
ArMV,PasV-A1,Arabis mosaic virus,Passerivirus A1,0.99,0.01
DWV,CPDV,Deformed wing virus,Canine picodicistrovirus,0.99,0.01
SINV-11,BHuV-1, Solenopsis invicta virus 11,Bovine hungarovirus 1,0.99,0.01
SEIV-1,PaV-1,Spodoptera exigua iflavirus 1,Pasivirus A1,0.99,0.01
BBV,OsV-A1,Brevicoryne brassicae virus,Oscivirus A1,0.99,0.01
VdV-1,CPDV,Varroa destructor virus 1,Canine picodicistrovirus,0.99,0.01
OilV-1,MSPV-1,Osiphanes invirae iflavirus 1,Miniopterus schreibersii picornavirus 1,0.99,0.01
FeV-2,CPDV,Formica exsecta virus 2,Canine picodicistrovirus,0.99,0.01
ALPV,PaV-1,Aphid lethal paralysis virus,Pasivirus A1,0.99,0.01
TplV-1,CPDV,Thaumetopoea pityocampa iflavirus 1,Canine picodicistrovirus,0.99,0.01
SEIV-1,CPDV,Spodoptera exigua iflavirus 1,Canine picodicistrovirus,0.99,0.01
SINV-16,RoM-7, Solenopsis invicta virus 16,Rosavirus M-7,0.99,0.01
AEV-1,SINV-17,Tremovirus A1, Solenopsis invicta virus 17,0.99,0.01
AoV-8,MSPV-1,Putative A. octoarticulatus virus 7 (g3814 i0),Miniopterus schreibersii picornavirus 1,0.99,0.01
DHAV-1,SINV-17,Duck hepatitis A virus 1, Solenopsis invicta virus 17,0.99,0.01
CPMV,SiV-A,Cowpea mosaic virus,Sicinivirus A,0.99,0.01
TesV-A1,SINV-17,Teschovirus A1, Solenopsis invicta virus 17,0.99,0.01
AoV-8,SenV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Senecavirus A1,0.99,0.01
AoV-8,ERAV,Putative A. octoarticulatus virus 7 (g3814 i0),Equine rhinitis B virus 1,0.99,0.01
KgV,CV-A1,King virus,Cardiovirus A1,0.99,0.01
SINV-16,SenV-A1, Solenopsis invicta virus 16,Senecavirus A1,0.99,0.01
SINV-16,AEV-1, Solenopsis invicta virus 16,Tremovirus A1,0.99,0.01
IFV,PasV-A1,Infectious flacherie virus,Passerivirus A1,0.99,0.01
OilV-1,POLIO1A,Osiphanes invirae iflavirus 1,Human poliovirus 1 Mahoney,0.99,0.01
ArMV,GaV-A1,Arabis mosaic virus,Gallivirus A1,0.99,0.01
AoV-8,BatPI,Putative A. octoarticulatus virus 7 (g3814 i0),Bat picornavirus,0.99,0.01
BQCV,CV-A1,Black queen cell virus,Cardiovirus A1,0.99,0.01
SEIV-1,FMDV-O1K,Spodoptera exigua iflavirus 1,Foot and mouth disease virus,0.99,0.01
DcPV,ERAV,Dinocampus coccinellae paralysis virus,Equine rhinitis B virus 1,0.99,0.01
SBPV,CPDV,Slow bee paralysis virus,Canine picodicistrovirus,0.99,0.01
LdIV-1,CPDV,Lymantria dispar iflavirus 1,Canine picodicistrovirus,0.99,0.01
DcPV,CPDV,Dinocampus coccinellae paralysis virus,Canine picodicistrovirus,0.99,0.01
CPMV,GaV-A1,Cowpea mosaic virus,Gallivirus A1,0.98,0.02
AoV-4,ERAV,Putative A. octoarticulatus virus 2 (g5994 i0),Equine rhinitis B virus 1,0.98,0.02
KgV,SINV-17,King virus, Solenopsis invicta virus 17,0.98,0.02
CPMV,CosV-A1,Cowpea mosaic virus,Cosavirus A1,0.98,0.02
CPMV,OsV-A1,Cowpea mosaic virus,Oscivirus A1,0.98,0.02
AoV-8,TuASV,Putative A. octoarticulatus virus 7 (g3814 i0),Turkey avisivirus,0.98,0.02
OilV-1,SiV-A,Osiphanes invirae iflavirus 1,Sicinivirus A,0.98,0.02
AoV-8,SV-NG-J1,Putative A. octoarticulatus virus 7 (g3814 i0),Salivirus NG-J1,0.98,0.02
ArMV,AEV-1,Arabis mosaic virus,Tremovirus A1,0.98,0.02
TplV-1,PaV-1,Thaumetopoea pityocampa iflavirus 1,Pasivirus A1,0.98,0.02
OilV-1,FSak1,Osiphanes invirae iflavirus 1,Feline sakobuvirus A,0.98,0.02
OilV-1,EPV-1,Osiphanes invirae iflavirus 1,Eel picornavirus 1,0.98,0.02
RoM-7,SINV-17,Rosavirus M-7, Solenopsis invicta virus 17,0.98,0.02
OilV-1,PasV-A1,Osiphanes invirae iflavirus 1,Passerivirus A1,0.98,0.02
AoV-8,KuV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Kunsagivirus A1,0.98,0.02
AoV-6,SINV-17,Putative A. octoarticulatus virus 5 (g2855 i0), Solenopsis invicta virus 17,0.98,0.02
ArMV,FSak1,Arabis mosaic virus,Feline sakobuvirus A,0.98,0.02
ArMV,SiV-A,Arabis mosaic virus,Sicinivirus A,0.98,0.02
CPMV,SenV-A1,Cowpea mosaic virus,Senecavirus A1,0.98,0.02
BBV,PaV-1,Brevicoryne brassicae virus,Pasivirus A1,0.98,0.02
SBPV,KuV-A1,Slow bee paralysis virus,Kunsagivirus A1,0.98,0.02
DcPV,AEV-1,Dinocampus coccinellae paralysis virus,Tremovirus A1,0.98,0.02
OilV-1,CosV-A1,Osiphanes invirae iflavirus 1,Cosavirus A1,0.98,0.02
CPMV,PasV-A1,Cowpea mosaic virus,Passerivirus A1,0.98,0.02
OilV-1,RoM-7,Osiphanes invirae iflavirus 1,Rosavirus M-7,0.98,0.02
KgV,CPDV,King virus,Canine picodicistrovirus,0.98,0.02
AoV-4,PaV-1,Putative A. octoarticulatus virus 2 (g5994 i0),Pasivirus A1,0.98,0.02
SINV-16,BatPI, Solenopsis invicta virus 16,Bat picornavirus,0.98,0.02
SINV-16,SV-NG-J1, Solenopsis invicta virus 16,Salivirus NG-J1,0.98,0.02
AoV-8,AV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Aquamavirus A1,0.98,0.02
AoV-8,EPV-1,Putative A. octoarticulatus virus 7 (g3814 i0),Eel picornavirus 1,0.98,0.02
SINV-11,PaV-1, Solenopsis invicta virus 11,Pasivirus A1,0.98,0.02
DcPV,AV-A1,Dinocampus coccinellae paralysis virus,Aquamavirus A1,0.98,0.02
SBPV,TuASV,Slow bee paralysis virus,Turkey avisivirus,0.98,0.02
SINV-16,OsV-A1, Solenopsis invicta virus 16,Oscivirus A1,0.98,0.02
OilV-1,SenV-A1,Osiphanes invirae iflavirus 1,Senecavirus A1,0.98,0.02
SINV-16,SiV-A, Solenopsis invicta virus 16,Sicinivirus A,0.98,0.02
OilV-1,AEV-1,Osiphanes invirae iflavirus 1,Tremovirus A1,0.98,0.02
AoV-8,MoV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Mosavirus A1,0.98,0.02
CRLV,TesV-A1,Cherry rasp leaf virus,Teschovirus A1,0.98,0.02
SINV-16,FSak1, Solenopsis invicta virus 16,Feline sakobuvirus A,0.98,0.02
CRLV,PasV-A1,Cherry rasp leaf virus,Passerivirus A1,0.98,0.02
SINV-16,BHuV-1, Solenopsis invicta virus 16,Bovine hungarovirus 1,0.98,0.02
BQCV,FSak1,Black queen cell virus,Feline sakobuvirus A,0.98,0.02
SBV,PasV-A1,Sacbrood virus,Passerivirus A1,0.98,0.02
AoV-8,SiV-A,Putative A. octoarticulatus virus 7 (g3814 i0),Sicinivirus A,0.98,0.02
AoV-3,CPDV,Putative A. octoarticulatus virus 1 (g2275 i0),Canine picodicistrovirus,0.98,0.02
IFV,CPDV,Infectious flacherie virus,Canine picodicistrovirus,0.98,0.02
LdIV-1,PaV-1,Lymantria dispar iflavirus 1,Pasivirus A1,0.98,0.02
CRLV,FMDV-O1K,Cherry rasp leaf virus,Foot and mouth disease virus,0.98,0.02
OilV-1,SV-NG-J1,Osiphanes invirae iflavirus 1,Salivirus NG-J1,0.98,0.02
ArMV,BHuV-1,Arabis mosaic virus,Bovine hungarovirus 1,0.98,0.02
SBPV,THV-2993D,Slow bee paralysis virus,Turkey hepatitis virus 2993D,0.98,0.02
DcPV,CV-A1,Dinocampus coccinellae paralysis virus,Cardiovirus A1,0.98,0.02
AoV-4,POLIO1A,Putative A. octoarticulatus virus 2 (g5994 i0),Human poliovirus 1 Mahoney,0.98,0.02
SBPV,TesV-A1,Slow bee paralysis virus,Teschovirus A1,0.98,0.02
LdIV-1,THV-2993D,Lymantria dispar iflavirus 1,Turkey hepatitis virus 2993D,0.98,0.02
SEIV-1,CosV-A1,Spodoptera exigua iflavirus 1,Cosavirus A1,0.98,0.02
SEIV-1,FSak1,Spodoptera exigua iflavirus 1,Feline sakobuvirus A,0.98,0.02
DWV,HPeV-1,Deformed wing virus,Human parechovirus 1,0.98,0.02
SBPV,FMDV-O1K,Slow bee paralysis virus,Foot and mouth disease virus,0.98,0.02
KgV,THV-2993D,King virus,Turkey hepatitis virus 2993D,0.98,0.02
AoV-4,CPDV,Putative A. octoarticulatus virus 2 (g5994 i0),Canine picodicistrovirus,0.98,0.02
SINV-11,FMDV-O1K, Solenopsis invicta virus 11,Foot and mouth disease virus,0.98,0.02
SINV-16,AiV-1, Solenopsis invicta virus 16,Aichi virus 1,0.98,0.02
SEIV-1,PEV-8,Spodoptera exigua iflavirus 1,Porcine enterovirus 8,0.98,0.02
ApIV,THV-2993D,Antheraea pernyi iflavirus,Turkey hepatitis virus 2993D,0.98,0.02
SBPV,PaV-1,Slow bee paralysis virus,Pasivirus A1,0.98,0.02
VdV-1,PaV-1,Varroa destructor virus 1,Pasivirus A1,0.98,0.02
IFV,SiV-A,Infectious flacherie virus,Sicinivirus A,0.98,0.02
DWV,THV-2993D,Deformed wing virus,Turkey hepatitis virus 2993D,0.98,0.02
SEIV-1,BHuV-1,Spodoptera exigua iflavirus 1,Bovine hungarovirus 1,0.98,0.02
AoV-3,AoV-8,Putative A. octoarticulatus virus 1 (g2275 i0),Putative A. octoarticulatus virus 7 (g3814 i0),0.98,0.02
OilV-1,GaV-A1,Osiphanes invirae iflavirus 1,Gallivirus A1,0.98,0.02
SINV-16,ERAV, Solenopsis invicta virus 16,Equine rhinitis B virus 1,0.98,0.02
STV9,CPDV,Soybean thrips iflavirus 9,Canine picodicistrovirus,0.98,0.02
CPMV,MSPV-1,Cowpea mosaic virus,Miniopterus schreibersii picornavirus 1,0.98,0.02
SINV-16,TesV-A1, Solenopsis invicta virus 16,Teschovirus A1,0.98,0.02
SINV-16,MoV-A1, Solenopsis invicta virus 16,Mosavirus A1,0.98,0.02
CPMV,AiV-1,Cowpea mosaic virus,Aichi virus 1,0.98,0.02
KgV,RoM-7,King virus,Rosavirus M-7,0.98,0.02
DcPV,TuASV,Dinocampus coccinellae paralysis virus,Turkey avisivirus,0.98,0.02
BQCV,IFV,Black queen cell virus,Infectious flacherie virus,0.98,0.02
SINV-11,AV-A1, Solenopsis invicta virus 11,Aquamavirus A1,0.98,0.02
IFV,ERAV,Infectious flacherie virus,Equine rhinitis B virus 1,0.98,0.02
OilV-1,LimV-A1,Osiphanes invirae iflavirus 1,Limnipivirus A1,0.98,0.02
CPMV,CPDV,Cowpea mosaic virus,Canine picodicistrovirus,0.98,0.02
AoV-4,FMDV-O1K,Putative A. octoarticulatus virus 2 (g5994 i0),Foot and mouth disease virus,0.98,0.02
ArMV,TesV-A1,Arabis mosaic virus,Teschovirus A1,0.98,0.02
ApIV,CPDV,Antheraea pernyi iflavirus,Canine picodicistrovirus,0.98,0.02
SEIV-2,LimV-A1,Spodoptera exigua iflavirus 2,Limnipivirus A1,0.98,0.02
SINV-16,PaV-1, Solenopsis invicta virus 16,Pasivirus A1,0.98,0.02
SEIV-1,KuV-A1,Spodoptera exigua iflavirus 1,Kunsagivirus A1,0.98,0.02
AoV-8,CV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Cardiovirus A1,0.98,0.02
DWV,PaV-1,Deformed wing virus,Pasivirus A1,0.98,0.02
IFV,POLIO1A,Infectious flacherie virus,Human poliovirus 1 Mahoney,0.98,0.02
OilV-1,TesV-A1,Osiphanes invirae iflavirus 1,Teschovirus A1,0.98,0.02
IAPV,OsV-A1,Israeli acute paralysis virus,Oscivirus A1,0.98,0.02
FEX-1,OsV-A1,Formica exsecta virus 1,Oscivirus A1,0.98,0.02
AoV-4,TuASV,Putative A. octoarticulatus virus 2 (g5994 i0),Turkey avisivirus,0.98,0.02
OilV-1,PaV-1,Osiphanes invirae iflavirus 1,Pasivirus A1,0.98,0.02
NLHV-1,CPDV,Nilaparvata lugens honeydew virus 1,Canine picodicistrovirus,0.98,0.02
SINV-16,PasV-A1, Solenopsis invicta virus 16,Passerivirus A1,0.98,0.02
SBPV,SenV-A1,Slow bee paralysis virus,Senecavirus A1,0.98,0.02
TplV-1,SenV-A1,Thaumetopoea pityocampa iflavirus 1,Senecavirus A1,0.98,0.02
BQCV,OsV-A1,Black queen cell virus,Oscivirus A1,0.98,0.02
CRLV,OsV-A1,Cherry rasp leaf virus,Oscivirus A1,0.98,0.02
EoV,TuASV,Ectropis obliqua virus,Turkey avisivirus,0.98,0.02
AoV-4,CV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Cardiovirus A1,0.98,0.02
SBPV,EPV-1,Slow bee paralysis virus,Eel picornavirus 1,0.98,0.02
IFV,BHuV-1,Infectious flacherie virus,Bovine hungarovirus 1,0.98,0.02
OilV-1,BatPI,Osiphanes invirae iflavirus 1,Bat picornavirus,0.98,0.02
SINV-11,SV-NG-J1, Solenopsis invicta virus 11,Salivirus NG-J1,0.98,0.02
BQCV,AoV-8,Black queen cell virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.98,0.02
SINV-11,TesV-A1, Solenopsis invicta virus 11,Teschovirus A1,0.98,0.02
CRLV,GaV-A1,Cherry rasp leaf virus,Gallivirus A1,0.98,0.02
STV9,PasV-A1,Soybean thrips iflavirus 9,Passerivirus A1,0.98,0.02
VdV-1,HPeV-1,Varroa destructor virus 1,Human parechovirus 1,0.98,0.02
STV9,SiV-A,Soybean thrips iflavirus 9,Sicinivirus A,0.98,0.02
STV9,PaV-1,Soybean thrips iflavirus 9,Pasivirus A1,0.98,0.02
CRLV,BatPI,Cherry rasp leaf virus,Bat picornavirus,0.98,0.02
VdV-1,THV-2993D,Varroa destructor virus 1,Turkey hepatitis virus 2993D,0.98,0.02
SEIV-2,SenV-A1,Spodoptera exigua iflavirus 2,Senecavirus A1,0.98,0.02
SINV-16,FMDV-O1K, Solenopsis invicta virus 16,Foot and mouth disease virus,0.98,0.02
SEIV-1,MoV-A1,Spodoptera exigua iflavirus 1,Mosavirus A1,0.98,0.02
BatIV,PaV-1,Bat iflavirus (Yinda et al. 2016),Pasivirus A1,0.98,0.02
DcPV,OsV-A1,Dinocampus coccinellae paralysis virus,Oscivirus A1,0.98,0.02
AoV-8,AEV-1,Putative A. octoarticulatus virus 7 (g3814 i0),Tremovirus A1,0.98,0.02
SINV-11,PEV-8, Solenopsis invicta virus 11,Porcine enterovirus 8,0.98,0.02
SEIV-1,CV-A1,Spodoptera exigua iflavirus 1,Cardiovirus A1,0.98,0.02
ApIV,SenV-A1,Antheraea pernyi iflavirus,Senecavirus A1,0.98,0.02
VdV-1,RoM-7,Varroa destructor virus 1,Rosavirus M-7,0.98,0.02
AoV-8,CPDV,Putative A. octoarticulatus virus 7 (g3814 i0),Canine picodicistrovirus,0.98,0.02
ArMV,MSPV-1,Arabis mosaic virus,Miniopterus schreibersii picornavirus 1,0.98,0.02
SEIV-2,CosV-A1,Spodoptera exigua iflavirus 2,Cosavirus A1,0.98,0.02
OilV-1,THV-2993D,Osiphanes invirae iflavirus 1,Turkey hepatitis virus 2993D,0.98,0.02
CPMV,THV-2993D,Cowpea mosaic virus,Turkey hepatitis virus 2993D,0.98,0.02
AoV-8,DHAV-1,Putative A. octoarticulatus virus 7 (g3814 i0),Duck hepatitis A virus 1,0.98,0.02
STV9,POLIO1A,Soybean thrips iflavirus 9,Human poliovirus 1 Mahoney,0.98,0.02
CPMV,TesV-A1,Cowpea mosaic virus,Teschovirus A1,0.98,0.02
EoV,MSPV-1,Ectropis obliqua virus,Miniopterus schreibersii picornavirus 1,0.98,0.02
TplV-1,BHuV-1,Thaumetopoea pityocampa iflavirus 1,Bovine hungarovirus 1,0.98,0.02
KBV,OsV-A1,Kashmir bee virus,Oscivirus A1,0.98,0.02
CPMV,BHuV-1,Cowpea mosaic virus,Bovine hungarovirus 1,0.98,0.02
AoV-5,CPDV,Putative A. octoarticulatus virus 4 (g1894 i0),Canine picodicistrovirus,0.98,0.02
IFV,RoM-7,Infectious flacherie virus,Rosavirus M-7,0.98,0.02
SINV-11,KuV-A1, Solenopsis invicta virus 11,Kunsagivirus A1,0.98,0.02
SEIV-1,AoV-8,Spodoptera exigua iflavirus 1,Putative A. octoarticulatus virus 7 (g3814 i0),0.98,0.02
LdIV-1,PasV-A1,Lymantria dispar iflavirus 1,Passerivirus A1,0.98,0.02
SINV-11,AEV-1, Solenopsis invicta virus 11,Tremovirus A1,0.98,0.02
NIHV-2,AoV-8,Nilaparvata lugens honeydew virus-2,Putative A. octoarticulatus virus 7 (g3814 i0),0.98,0.02
DWV,CV-A1,Deformed wing virus,Cardiovirus A1,0.98,0.02
AoV-5,SiV-A,Putative A. octoarticulatus virus 4 (g1894 i0),Sicinivirus A,0.98,0.02
NLHV-1,PaV-1,Nilaparvata lugens honeydew virus 1,Pasivirus A1,0.98,0.02
SEIV-2,MSPV-1,Spodoptera exigua iflavirus 2,Miniopterus schreibersii picornavirus 1,0.98,0.02
SINV-11,TuASV, Solenopsis invicta virus 11,Turkey avisivirus,0.98,0.02
SEIV-1,CRLV,Spodoptera exigua iflavirus 1,Cherry rasp leaf virus,0.98,0.02
SBPV,CV-A1,Slow bee paralysis virus,Cardiovirus A1,0.98,0.02
AoV-2,CosV-A1,Putative A. octoarticulatus virus 3 (g6982 i4),Cosavirus A1,0.98,0.02
CRLV,BHuV-1,Cherry rasp leaf virus,Bovine hungarovirus 1,0.98,0.02
SBV,FSak1,Sacbrood virus,Feline sakobuvirus A,0.98,0.02
FeV-2,SiV-A,Formica exsecta virus 2,Sicinivirus A,0.98,0.02
NIHV-2,CPDV,Nilaparvata lugens honeydew virus-2,Canine picodicistrovirus,0.98,0.02
SEIV-2,TesV-A1,Spodoptera exigua iflavirus 2,Teschovirus A1,0.98,0.02
AoV-8,CosV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Cosavirus A1,0.98,0.02
SBV,AEV-1,Sacbrood virus,Tremovirus A1,0.98,0.02
VdV-1,BatPI,Varroa destructor virus 1,Bat picornavirus,0.98,0.02
BatIV,FMDV-O1K,Bat iflavirus (Yinda et al. 2016),Foot and mouth disease virus,0.98,0.02
VdV-1,CV-A1,Varroa destructor virus 1,Cardiovirus A1,0.98,0.02
OilV-1,MoV-A1,Osiphanes invirae iflavirus 1,Mosavirus A1,0.98,0.02
BBV,FSak1,Brevicoryne brassicae virus,Feline sakobuvirus A,0.98,0.02
PNV,MSPV-1,Perina nuda virus,Miniopterus schreibersii picornavirus 1,0.98,0.02
LdIV-1,BHuV-1,Lymantria dispar iflavirus 1,Bovine hungarovirus 1,0.98,0.02
SEIV-1,EPV-1,Spodoptera exigua iflavirus 1,Eel picornavirus 1,0.98,0.02
FeV-2,MSPV-1,Formica exsecta virus 2,Miniopterus schreibersii picornavirus 1,0.98,0.02
CRLV,FSak1,Cherry rasp leaf virus,Feline sakobuvirus A,0.98,0.02
NIHV-2,THV-2993D,Nilaparvata lugens honeydew virus-2,Turkey hepatitis virus 2993D,0.98,0.02
LdIV-1,SenV-A1,Lymantria dispar iflavirus 1,Senecavirus A1,0.98,0.02
